"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",1963,"1","67.2",94.82,79.75,111.63,8.5,"1",NA
"2",1964,"1","61.4",87.14,72.21,103.59,8.26,"1",NA
"3",1965,"1","58.6555555555556",81.3,66.61,98.15,8.15,"1",NA
"4",1966,"1","55.9111111111111",76.69,62.11,93.53,8.1,"1",NA
"5",1967,"1","53.1666666666667",73.1,58.79,89.79,8.08,"1",NA
"6",1968,"1","50.4222222222222",69.78,55.75,86.52,7.97,"1",NA
"7",1969,"1","47.6777777777778",66.81,53.09,83.52,7.83,"1",NA
"8",1970,"1","44.9333333333333",64.22,50.78,80.78,7.68,"1",NA
"9",1971,"1","42.1888888888889",62.02,48.83,78.3,7.54,"1",NA
"10",1972,"1","39.4444444444444",60.17,47.23,76.16,7.39,"1",NA
"11",1973,"1","36.7",58.63,45.97,74.34,7.24,"1",NA
"12",1974,"1","53.2",57.39,45.06,72.81,7.1,"1",NA
"13",1975,"1","22.8",54.24,42.28,69.29,6.95,"1",NA
"14",1976,"1","27",54.86,43.15,69.65,6.82,"1",NA
"15",1977,"1","24.8",54.74,43.34,69.23,6.7,"1",NA
"16",1978,"1","31.8",54.76,43.63,68.93,6.58,"1",NA
"17",1979,"1","30.7",53.63,42.81,67.5,6.46,"1",NA
"18",1980,"1","29.7",52.88,42.29,66.44,6.35,"1",NA
"19",1981,"1","32.8",52.34,41.93,65.7,6.25,"1",NA
"20",1982,"1","31.2",51.53,41.28,64.66,6.15,"1",NA
"21",1983,"1","29.6",50.9,40.72,63.89,6.05,"1",NA
"22",1984,"1","28",50.47,40.42,63.32,5.96,"1",NA
"23",1985,"1","26.4",50.23,40.3,63.02,5.89,"1",NA
"24",1986,"1","24.8",50.12,40.28,62.7,5.81,"1",NA
"25",1987,"1","23.2",50.13,40.4,62.57,5.75,"1",NA
"26",1988,"1","21.6",50.28,40.68,62.66,5.69,"1",NA
"27",1989,"1","20",50.56,41,62.9,5.64,"1",NA
"28",1990,"1","18.4",50.97,41.48,63.27,5.59,"1",NA
"29",1991,"1","16.8",51.5,42.09,63.77,5.56,"1",NA
"30",1992,"1","15.2",52.14,42.73,64.4,5.53,"1",NA
"31",1993,"1","13.6",52.9,43.64,65.03,5.51,"1",NA
"32",1994,"1","12",53.77,44.58,65.71,5.5,"1",NA
"33",1995,"1","98",54.75,45.57,66.58,5.5,"1",NA
"34",1996,"1","57",45.82,37.23,57.53,5.21,"1",NA
"35",1997,"1","65.3",43.04,34.48,54.45,5.14,"1",NA
"36",1998,"1","31",39.84,31.29,50.91,5.08,"1",NA
"37",1999,"1","54.4",41.15,32.59,52.79,5.09,"1",NA
"38",2000,"1","85",38.56,30,49.79,5.03,"1",NA
"39",2001,"1","66",32.54,24.05,43.35,4.95,"1",NA
"40",2002,"1","51.4",29.21,20.63,40.15,4.94,"1",NA
"41",2003,"1","45.8",28.24,19.88,39.14,4.93,"1",NA
"42",2004,"1","25.7",27.71,19.36,38.69,4.93,"1",NA
"43",2005,"1","34.3",28.72,20.28,39.82,4.98,"1",NA
"44",2006,"1","29.7",28.1,19.53,39.26,5.04,"1",NA
"45",2007,"1","32",27.94,19.23,39.21,5.1,"1",NA
"46",2008,"1","26.5",27.47,18.6,38.86,5.17,"1",NA
"47",2009,"1","20.9",27.86,18.7,39.3,5.23,"1",NA
"48",2010,"1","26.4",28.73,19.21,40.28,5.31,"1",NA
"49",2011,"1","41.6",28.81,19.09,40.52,5.38,"1",NA
"50",1963,"CatchMSY","67.2",1.39,1.28,1.5,0.05,"Catch/MSY",NA
"51",1964,"CatchMSY","61.4",1.27,1.17,1.37,0.05,"Catch/MSY",NA
"52",1965,"CatchMSY","58.6555555555556",1.22,1.11,1.31,0.05,"Catch/MSY",NA
"53",1966,"CatchMSY","55.9111111111111",1.16,1.06,1.25,0.05,"Catch/MSY",NA
"54",1967,"CatchMSY","53.1666666666667",1.1,1.01,1.19,0.05,"Catch/MSY",NA
"55",1968,"CatchMSY","50.4222222222222",1.05,0.96,1.13,0.05,"Catch/MSY",NA
"56",1969,"CatchMSY","47.6777777777778",0.99,0.91,1.06,0.05,"Catch/MSY",NA
"57",1970,"CatchMSY","44.9333333333333",0.93,0.85,1,0.05,"Catch/MSY",NA
"58",1971,"CatchMSY","42.1888888888889",0.87,0.8,0.94,0.05,"Catch/MSY",NA
"59",1972,"CatchMSY","39.4444444444444",0.82,0.75,0.88,0.05,"Catch/MSY",NA
"60",1973,"CatchMSY","36.7",0.76,0.7,0.82,0.05,"Catch/MSY",NA
"61",1974,"CatchMSY","53.2",1.1,1.01,1.19,0.05,"Catch/MSY",NA
"62",1975,"CatchMSY","22.8",0.47,0.43,0.51,0.05,"Catch/MSY",NA
"63",1976,"CatchMSY","27",0.56,0.51,0.6,0.05,"Catch/MSY",NA
"64",1977,"CatchMSY","24.8",0.51,0.47,0.55,0.05,"Catch/MSY",NA
"65",1978,"CatchMSY","31.8",0.66,0.6,0.71,0.05,"Catch/MSY",NA
"66",1979,"CatchMSY","30.7",0.64,0.58,0.69,0.05,"Catch/MSY",NA
"67",1980,"CatchMSY","29.7",0.62,0.56,0.66,0.05,"Catch/MSY",NA
"68",1981,"CatchMSY","32.8",0.68,0.62,0.73,0.05,"Catch/MSY",NA
"69",1982,"CatchMSY","31.2",0.65,0.59,0.7,0.05,"Catch/MSY",NA
"70",1983,"CatchMSY","29.6",0.61,0.56,0.66,0.05,"Catch/MSY",NA
"71",1984,"CatchMSY","28",0.58,0.53,0.62,0.05,"Catch/MSY",NA
"72",1985,"CatchMSY","26.4",0.55,0.5,0.59,0.05,"Catch/MSY",NA
"73",1986,"CatchMSY","24.8",0.51,0.47,0.55,0.05,"Catch/MSY",NA
"74",1987,"CatchMSY","23.2",0.48,0.44,0.52,0.05,"Catch/MSY",NA
"75",1988,"CatchMSY","21.6",0.45,0.41,0.48,0.05,"Catch/MSY",NA
"76",1989,"CatchMSY","20",0.41,0.38,0.45,0.05,"Catch/MSY",NA
"77",1990,"CatchMSY","18.4",0.38,0.35,0.41,0.05,"Catch/MSY",NA
"78",1991,"CatchMSY","16.8",0.35,0.32,0.37,0.05,"Catch/MSY",NA
"79",1992,"CatchMSY","15.2",0.32,0.29,0.34,0.05,"Catch/MSY",NA
"80",1993,"CatchMSY","13.6",0.28,0.26,0.3,0.05,"Catch/MSY",NA
"81",1994,"CatchMSY","12",0.25,0.23,0.27,0.05,"Catch/MSY",NA
"82",1995,"CatchMSY","98",2.03,1.86,2.19,0.05,"Catch/MSY",NA
"83",1996,"CatchMSY","57",1.18,1.08,1.27,0.05,"Catch/MSY",NA
"84",1997,"CatchMSY","65.3",1.35,1.24,1.46,0.05,"Catch/MSY",NA
"85",1998,"CatchMSY","31",0.64,0.59,0.69,0.05,"Catch/MSY",NA
"86",1999,"CatchMSY","54.4",1.13,1.03,1.21,0.05,"Catch/MSY",NA
"87",2000,"CatchMSY","85",1.76,1.61,1.9,0.05,"Catch/MSY",NA
"88",2001,"CatchMSY","66",1.37,1.25,1.47,0.05,"Catch/MSY",NA
"89",2002,"CatchMSY","51.4",1.07,0.98,1.15,0.05,"Catch/MSY",NA
"90",2003,"CatchMSY","45.8",0.95,0.87,1.02,0.05,"Catch/MSY",NA
"91",2004,"CatchMSY","25.7",0.53,0.49,0.57,0.05,"Catch/MSY",NA
"92",2005,"CatchMSY","34.3",0.71,0.65,0.77,0.05,"Catch/MSY",NA
"93",2006,"CatchMSY","29.7",0.62,0.56,0.66,0.05,"Catch/MSY",NA
"94",2007,"CatchMSY","32",0.66,0.61,0.71,0.05,"Catch/MSY",NA
"95",2008,"CatchMSY","26.5",0.55,0.5,0.59,0.05,"Catch/MSY",NA
"96",2009,"CatchMSY","20.9",0.43,0.4,0.47,0.05,"Catch/MSY",NA
"97",2010,"CatchMSY","26.4",0.55,0.5,0.59,0.05,"Catch/MSY",NA
"98",2011,"CatchMSY","41.6",0.86,0.79,0.93,0.05,"Catch/MSY",NA
"99",1995,"LBAR","52",3.64,1.64,8.67,1.34,"FvM","None"
"100",1997,"LBAR","5751",2.27,0.87,3.86,0.75,"FvM","None"
"101",1998,"LBAR","5892",2.7,1.32,4.39,0.79,"FvM","None"
"102",1999,"LBAR","22364",4.64,3.07,6.53,0.84,"FvM","None"
"103",2000,"LBAR","28337",4.86,3.44,7.77,1.06,"FvM","None"
"104",2001,"LBAR","2523",5.15,2.61,7.91,1.1,"FvM","None"
"105",2002,"LBAR","7496",3.37,2.05,5.05,0.7,"FvM","None"
"106",2003,"LBAR","6987",5.02,3.37,7.25,0.92,"FvM","None"
"107",2004,"LBAR","3845",4.37,2.85,6.63,0.94,"FvM","None"
"108",2005,"LBAR","4893",4.68,3.14,6.75,0.86,"FvM","None"
"109",2006,"LBAR","5486",2.05,0.99,3.51,0.57,"FvM","None"
"110",2009,"LBAR","671",4.2,3.02,7.14,0.87,"FvM","None"
"111",2010,"LBAR","218",2.78,1.17,5.88,1.04,"FvM","None"
"112",2011,"LBAR","655",3.26,1.77,6.02,0.93,"FvM","None"
"113",2012,"LBAR","1610",3.14,1.9,4.9,0.75,"FvM","None"
"114",2013,"LBAR","109",5.14,2.87,11.99,1.8,"FvM","None"
"115",1995,"CatchCurve","52",3.25,0.94,6.01,1.3,"FvM","No MPA based M possible - derived from LHI and Lit"
"116",1997,"CatchCurve","5751",1.93,0.76,3.52,0.62,"FvM","No MPA based M possible - derived from LHI and Lit"
"117",1998,"CatchCurve","5892",2.82,1.03,4.64,0.91,"FvM","No MPA based M possible - derived from LHI and Lit"
"118",1999,"CatchCurve","22364",3.24,1.36,5.36,1.01,"FvM","No MPA based M possible - derived from LHI and Lit"
"119",2000,"CatchCurve","28337",4.12,1.57,7.17,1.42,"FvM","No MPA based M possible - derived from LHI and Lit"
"120",2001,"CatchCurve","2523",2.77,1.58,5.14,0.86,"FvM","No MPA based M possible - derived from LHI and Lit"
"121",2002,"CatchCurve","7496",3.89,1.94,5.51,0.99,"FvM","No MPA based M possible - derived from LHI and Lit"
"122",2003,"CatchCurve","6987",3.53,1.38,5.98,1,"FvM","No MPA based M possible - derived from LHI and Lit"
"123",2004,"CatchCurve","3845",4.1,2.13,6.04,0.91,"FvM","No MPA based M possible - derived from LHI and Lit"
"124",2005,"CatchCurve","4893",2.95,1.77,4.66,0.69,"FvM","No MPA based M possible - derived from LHI and Lit"
"125",2006,"CatchCurve","5486",1.42,0.72,2.83,0.48,"FvM","No MPA based M possible - derived from LHI and Lit"
"126",2009,"CatchCurve","671",4.02,2.02,6.23,0.99,"FvM","No MPA based M possible - derived from LHI and Lit"
"127",2010,"CatchCurve","218",2.34,0.84,4.41,0.81,"FvM","No MPA based M possible - derived from LHI and Lit"
"128",2011,"CatchCurve","655",3.5,1.33,5.47,0.93,"FvM","No MPA based M possible - derived from LHI and Lit"
"129",2012,"CatchCurve","1610",2.96,1.4,4.53,0.78,"FvM","No MPA based M possible - derived from LHI and Lit"
"130",2013,"CatchCurve","109",5.42,1.86,7.43,1.3,"FvM","No MPA based M possible - derived from LHI and Lit"
"131",1995,"LBSPR","52",0.47,0.28,0.75,0.14,"SPR","ModelFailed is FALSE"
"132",1997,"LBSPR","5751",0.63,0.28,1,0.26,"SPR","ModelFailed is FALSE"
"133",1998,"LBSPR","5892",0.49,0.22,0.89,0.22,"SPR","ModelFailed is FALSE"
"134",1999,"LBSPR","22364",0.23,0.1,0.39,0.1,"SPR","ModelFailed is FALSE"
"135",2000,"LBSPR","28337",0.25,0.11,0.41,0.1,"SPR","ModelFailed is FALSE"
"136",2001,"LBSPR","2523",0.36,0.17,0.56,0.13,"SPR","ModelFailed is FALSE"
"137",2002,"LBSPR","7496",0.29,0.14,0.48,0.11,"SPR","ModelFailed is FALSE"
"138",2003,"LBSPR","6987",0.25,0.11,0.41,0.1,"SPR","ModelFailed is FALSE"
"139",2004,"LBSPR","3845",0.27,0.13,0.42,0.11,"SPR","ModelFailed is FALSE"
"140",2005,"LBSPR","4893",0.27,0.13,0.44,0.1,"SPR","ModelFailed is FALSE"
"141",2006,"LBSPR","5486",0.59,0.3,0.89,0.2,"SPR","ModelFailed is FALSE"
"142",2009,"LBSPR","671",0.3,0.15,0.54,0.14,"SPR","ModelFailed is FALSE"
"143",2010,"LBSPR","218",0.72,0.31,1,0.23,"SPR","ModelFailed is FALSE"
"144",2011,"LBSPR","655",0.46,0.22,0.82,0.18,"SPR","ModelFailed is FALSE"
"145",2012,"LBSPR","1610",0.44,0.23,0.69,0.17,"SPR","ModelFailed is FALSE"
"146",2013,"LBSPR","109",0.52,0.18,0.77,0.18,"SPR","ModelFailed is FALSE"
